stateid,timeid,cases
AP,1,0.0
AP,2,2100.0
AP,3,2741.0
AP,4,25322.0
AP,5,240027.0
AP,6,301994.0
AP,7,192386.0
AP,8,85490.0
AP,9,22881.0
AP,10,9780.0
AP,11,3253.0
AP,12,2992.0
AP,13,45188.0
AP,14,451754.0
AP,15,425590.0
AP,16,115186.0
AP,17,62612.0
AR,1,0.0
AR,2,1.0
AR,3,92.0
AR,4,375.0
AR,5,2145.0
AR,6,3690.0
AR,7,6514.0
AR,8,3024.0
AR,9,746.0
AR,10,262.0
AR,11,34.0
AR,12,8.0
AR,13,72.0
AR,14,4462.0
AR,15,10275.0
AR,16,9631.0
AR,17,10028.0
AS,1,0.0
AS,2,0.0
AS,3,0.0
AS,4,0.0
AS,5,0.0
AS,6,0.0
AS,7,0.0
AS,8,0.0
AS,9,0.0
AS,10,0.0
AS,11,0.0
AS,12,0.0
AS,13,0.0
AS,14,0.0
AS,15,0.0
AS,16,0.0
AS,17,0.0
BR,1,0.0
BR,2,999.0
BR,3,5507.0
BR,4,12378.0
BR,5,79517.0
BR,6,61156.0
BR,7,40047.0
BR,8,27120.0
BR,9,17004.0
BR,10,14270.0
BR,11,3798.0
BR,12,1284.0
BR,13,32146.0
BR,14,342508.0
BR,15,79860.0
BR,16,6031.0
BR,17,1885.0
CH,1,0.0
CH,2,191.0
CH,3,161.0
CH,4,248.0
CH,5,1328.0
CH,6,6317.0
CH,7,5158.0
CH,8,2233.0
CH,9,3078.0
CH,10,1724.0
CH,11,800.0
CH,12,1858.0
CH,13,8889.0
CH,14,22058.0
CH,15,7117.0
CH,16,691.0
CH,17,177.0
CT,1,0.0
CT,2,60.0
CT,3,1608.0
CT,4,2740.0
CT,5,10168.0
CT,6,52657.0
CT,7,83360.0
CT,8,59195.0
CT,9,48515.0
CT,10,33418.0
CT,11,20428.0
CT,12,8227.0
CT,13,168859.0
CT,14,413551.0
CT,15,87602.0
CT,16,11221.0
CT,17,4851.0
DL,1,0.0
DL,2,8470.0
DL,3,32712.0
DL,4,74164.0
DL,5,35306.0
DL,6,70881.0
DL,7,96015.0
DL,8,164622.0
DL,9,126660.0
DL,10,22759.0
DL,11,5357.0
DL,12,6750.0
DL,13,123742.0
DL,14,613543.0
DL,15,50289.0
DL,16,4011.0
DL,17,1757.0
DN,1,0.0
DN,2,1.0
DN,3,37.0
DN,4,503.0
DN,5,1241.0
DN,6,983.0
DN,7,406.0
DN,8,109.0
DN,9,69.0
DN,10,23.0
DN,11,11.0
DN,12,38.0
DN,13,985.0
DN,14,5081.0
DN,15,980.0
