stateid,timeid,cases
AP,1,0.0
AP,2,0.0
AP,3,0.0
AP,4,0.0
AP,5,0.0
AP,6,0.0
AP,7,0.0
AP,8,0.0
AP,9,0.0
AP,10,0.0
AP,11,0.0
AP,12,1332.0
AP,13,1525.0
AP,14,418.0
AP,15,378.0
AP,16,314.0
AP,17,302.0
AP,18,343.0
AP,19,202.0
AP,20,380.0
AP,21,537.0
AP,22,492.0
AP,23,644.0
AP,24,847.0
AP,25,1000.0
AP,26,1429.0
AP,27,2032.0
AP,28,2751.0
AP,29,3473.0
AP,30,4507.0
AP,31,5048.0
AP,32,6758.0
AP,33,9281.0
AP,34,13004.0
AP,35,17292.0
AP,36,29243.0
AP,37,44062.0
AP,38,55677.0
AP,39,61538.0
AP,40,66071.0
AP,41,66831.0
AP,42,67685.0
AP,43,64777.0
AP,44,61857.0
AP,45,63399.0
AP,46,66466.0
AP,47,68948.0
AP,48,73062.0
AP,49,73167.0
AP,50,71981.0
AP,51,70256.0
AP,52,65248.0
AP,53,60189.0
AP,54,53770.0
AP,55,50975.0
AP,56,46954.0
AP,57,44263.0
AP,58,40943.0
AP,59,37503.0
AP,60,33038.0
AP,61,28629.0
AP,62,25834.0
AP,63,24880.0
AP,64,21475.0
AP,65,19322.0
AP,66,18434.0
AP,67,17382.0
AP,68,14769.0
AP,69,12225.0
AP,70,9418.0
AP,71,8137.0
AP,72,7279.0
AP,73,5971.0
AP,74,4738.0
AP,75,4242.0
AP,76,4045.0
AP,77,3720.0
AP,78,3357.0
AP,79,3260.0
AP,80,2904.0
AP,81,2427.0
AP,82,2230.0
AP,83,2138.0
AP,84,1928.0
AP,85,1839.0
AP,86,1561.0
AP,87,1135.0
AP,88,981.0
AP,89,1028.0
AP,90,931.0
AP,91,868.0
AP,92,750.0
AP,93,630.0
AP,94,506.0
AP,95,464.0
AP,96,405.0
AP,97,396.0
AP,98,493.0
AP,99,589.0
AP,100,712.0
AP,101,757.0
AP,102,789.0
AP,103,1007.0
AP,104,1518.0
AP,105,1803.0
AP,106,2599.0
AP,107,4444.0
AP,108,6868.0
AP,109,8136.0
AP,110,11285.0
AP,111,15960.0
AP,112,23775.0
AP,113,33549.0
AP,114,49654.0
AP,115,65471.0
AP,116,82841.0
AP,117,100176.0
AP,118,136688.0
AP,119,144337.0
AP,120,138154.0
AP,121,145881.0
AP,122,154146.0
AP,123,150740.0
AP,124,128858.0
AP,125,109682.0
AP,126,89766.0
AP,127,77621.0
AP,128,62617.0
AP,129,53711.0
AP,130,46978.0
AP,131,41843.0
AP,132,35285.0
AP,133,30705.0
AP,134,27477.0
AP,135,24126.0
AP,136,21718.0
AP,137,20430.0
AP,138,18348.0
AP,139,16944.0
AP,140,17170.0
AP,141,15391.0
AP,142,13193.0
AP,143,13662.0
AP,144,14054.0
AP,145,14083.0
AP,146,13055.0
AP,147,11933.0
AP,148,5140.0
AR,1,0.0
AR,2,0.0
AR,3,0.0
AR,4,0.0
AR,5,0.0
AR,6,0.0
AR,7,0.0
AR,8,0.0
AR,9,0.0
AR,10,0.0
AR,11,0.0
AR,12,1.0
AR,13,1.0
AR,14,0.0
AR,15,0.0
AR,16,0.0
AR,17,0.0
AR,18,0.0
AR,19,0.0
AR,20,1.0
AR,21,3.0
AR,22,34.0
AR,23,43.0
AR,24,24.0
AR,25,43.0
AR,26,47.0
AR,27,49.0
AR,28,57.0
AR,29,42.0
AR,30,35.0
AR,31,82.0
AR,32,93.0
AR,33,83.0
AR,34,205.0
AR,35,310.0
AR,36,458.0
AR,37,476.0
AR,38,461.0
AR,39,548.0
AR,40,445.0
AR,41,443.0
AR,42,575.0
AR,43,541.0
AR,44,520.0
AR,45,565.0
AR,46,605.0
AR,47,654.0
AR,48,805.0
AR,49,1037.0
AR,50,1185.0
AR,51,1047.0
AR,52,1149.0
AR,53,1328.0
AR,54,1478.0
AR,55,1619.0
AR,56,1663.0
AR,57,1552.0
AR,58,1475.0
AR,59,1581.0
AR,60,1501.0
AR,61,1350.0
AR,62,1144.0
AR,63,863.0
AR,64,668.0
AR,65,641.0
AR,66,580.0
AR,67,537.0
AR,68,497.0
AR,69,403.0
AR,70,288.0
AR,71,245.0
AR,72,229.0
AR,73,225.0
AR,74,146.0
AR,75,122.0
AR,76,141.0
AR,77,122.0
AR,78,115.0
AR,79,125.0
AR,80,95.0
AR,81,58.0
AR,82,42.0
AR,83,40.0
AR,84,42.0
AR,85,40.0
AR,86,30.0
AR,87,41.0
AR,88,32.0
AR,89,10.0
AR,90,9.0
AR,91,10.0
AR,92,5.0
AR,93,2.0
AR,94,2.0
AR,95,2.0
AR,96,2.0
AR,97,4.0
AR,98,3.0
AR,99,0.0
AR,100,2.0
AR,101,3.0
AR,102,2.0
AR,103,1.0
AR,104,1.0
AR,105,2.0
AR,106,1.0
AR,107,3.0
AR,108,3.0
AR,109,4.0
AR,110,16.0
AR,111,29.0
AR,112,51.0
AR,113,89.0
AR,114,274.0
AR,115,579.0
AR,116,876.0
AR,117,1090.0
AR,118,1350.0
AR,119,1411.0
AR,120,1443.0
AR,121,1576.0
AR,122,1945.0
AR,123,2245.0
AR,124,2577.0
AR,125,2911.0
AR,126,2642.0
AR,127,2335.0
AR,128,2229.0
AR,129,2035.0
AR,130,1941.0
AR,131,1775.0
AR,132,1728.0
AR,133,1844.0
AR,134,1941.0
AR,135,2170.0
AR,136,2426.0
AR,137,2626.0
AR,138,2996.0
AR,139,3001.0
AR,140,2943.0
AR,141,3139.0
AR,142,2920.0
AR,143,2426.0
AR,144,2068.0
AR,145,1794.0
AR,146,1590.0
AR,147,1384.0
AR,148,507.0
AS,1,0.0
AS,2,0.0
AS,3,0.0
AS,4,0.0
AS,5,0.0
AS,6,0.0
AS,7,0.0
AS,8,0.0
AS,9,0.0
AS,10,0.0
AS,11,0.0
AS,12,0.0
AS,13,0.0
AS,14,0.0
AS,15,0.0
AS,16,0.0
AS,17,0.0
AS,18,0.0
AS,19,0.0
AS,20,0.0
AS,21,0.0
AS,22,0.0
AS,23,0.0
AS,24,0.0
AS,25,0.0
AS,26,0.0
AS,27,0.0
AS,28,0.0
AS,29,0.0
AS,30,0.0
AS,31,0.0
AS,32,0.0
AS,33,0.0
AS,34,0.0
AS,35,0.0
AS,36,0.0
AS,37,0.0
AS,38,0.0
AS,39,0.0
AS,40,0.0
AS,41,0.0
AS,42,0.0
AS,43,0.0
AS,44,0.0
AS,45,0.0
AS,46,0.0
AS,47,0.0
AS,48,0.0
AS,49,0.0
AS,50,0.0
AS,51,0.0
AS,52,0.0
AS,53,0.0
AS,54,0.0
AS,55,0.0
AS,56,0.0
AS,57,0.0
AS,58,0.0
AS,59,0.0
AS,60,0.0
AS,61,0.0
AS,62,0.0
AS,63,0.0
AS,64,0.0
AS,65,0.0
AS,66,0.0
AS,67,0.0
AS,68,0.0
AS,69,0.0
AS,70,0.0
AS,71,0.0
AS,72,0.0
AS,73,0.0
AS,74,0.0
AS,75,0.0
AS,76,0.0
AS,77,0.0
AS,78,0.0
AS,79,0.0
AS,80,0.0
AS,81,0.0
AS,82,0.0
AS,83,0.0
AS,84,0.0
AS,85,0.0
AS,86,0.0
AS,87,0.0
AS,88,0.0
AS,89,0.0
AS,90,0.0
AS,91,0.0
AS,92,0.0
AS,93,0.0
AS,94,0.0
AS,95,0.0
AS,96,0.0
AS,97,0.0
AS,98,0.0
AS,99,0.0
AS,100,0.0
AS,101,0.0
AS,102,0.0
AS,103,0.0
AS,104,0.0
AS,105,0.0
AS,106,0.0
AS,107,0.0
AS,108,0.0
AS,109,0.0
AS,110,0.0
AS,111,0.0
AS,112,0.0
AS,113,0.0
AS,114,0.0
AS,115,0.0
AS,116,0.0
AS,117,0.0
AS,118,0.0
AS,119,0.0
AS,120,0.0
AS,121,0.0
AS,122,0.0
AS,123,0.0
AS,124,0.0
AS,125,0.0
AS,126,0.0
AS,127,0.0
AS,128,0.0
AS,129,0.0
AS,130,0.0
AS,131,0.0
AS,132,0.0
AS,133,0.0
AS,134,0.0
AS,135,0.0
AS,136,0.0
AS,137,0.0
AS,138,0.0
AS,139,0.0
AS,140,0.0
AS,141,0.0
AS,142,0.0
AS,143,0.0
AS,144,0.0
AS,145,0.0
AS,146,0.0
AS,147,0.0
AS,148,0.0
BR,1,0.0
BR,2,0.0
BR,3,0.0
BR,4,0.0
BR,5,0.0
BR,6,0.0
BR,7,0.0
BR,8,0.0
BR,9,0.0
BR,10,0.0
BR,11,0.0
BR,12,403.0
BR,13,481.0
BR,14,139.0
BR,15,130.0
BR,16,411.0
BR,17,567.0
BR,18,627.0
BR,19,1222.0
BR,20,1465.0
BR,21,1174.0
BR,22,1300.0
BR,23,1276.0
BR,24,1382.0
BR,25,1468.0
BR,26,1244.0
BR,27,1216.0
BR,28,1333.0
BR,29,1477.0
BR,30,1931.0
BR,31,2477.0
BR,32,3070.0
BR,33,3582.0
BR,34,6899.0
BR,35,9928.0
BR,36,9893.0
BR,37,11347.0
