State,Level,Name,TRU,TOT_M,TOT_F,District_Key,Ratio
0,india,india,Total,623270258,587584719,0_India,0.9427446785050988
JK,state,jammu and kashmir,Total,6640662,5900640,JK_Jammu And Kashmir,0.8885620138474146
JK,district,kupwara,Total,474190,396164,JK_Kupwara,0.8354541428541302
JK,district,budgam,Total,398041,355704,JK_Budgam,0.893636585175899
LA,district,leh,Total,78971,54516,LA_Leh,0.690329361411151
LA,district,kargil,Total,77785,63017,LA_Kargil,0.8101433438323584
JK,district,punch,Total,251899,224936,JK_Punch,0.8929610677295265
JK,district,rajouri,Total,345351,297064,JK_Rajouri,0.8601799328798816
JK,district,kathua,Total,326109,290326,JK_Kathua,0.8902728842196934
JK,district,baramulla,Total,534733,473306,JK_Baramulla,0.8851258478530407
JK,district,bandipora,Total,207680,184552,JK_Bandipora,0.8886363636363637
JK,district,srinagar,Total,651124,585705,JK_Srinagar,0.8995291219491218
JK,district,ganderbal,Total,158720,138726,JK_Ganderbal,0.8740297379032258
JK,district,pulwama,Total,293064,267376,JK_Pulwama,0.9123467911445964
JK,district,shopiyan,Total,136480,129735,JK_Shopiyan,0.9505788393903869
JK,district,anantnag,Total,559767,518925,JK_Anantnag,0.9270374995310549
JK,district,kulgam,Total,217620,206863,JK_Kulgam,0.9505698005698006
JK,district,doda,Total,213641,196295,JK_Doda,0.9188077194920451
JK,district,ramban,Total,149132,134581,JK_Ramban,0.9024287208647372
JK,district,kishtwar,Total,120165,110531,JK_Kishtwar,0.9198269046727416
JK,district,udhampur,Total,296784,258201,JK_Udhampur,0.8699963609898108
JK,district,reasi,Total,166461,148206,JK_Reasi,0.8903346729864653
JK,district,jammu,Total,813821,716137,JK_Jammu,0.8799686909037737
JK,district,samba,Total,169124,149774,JK_Samba,0.8855869066483764
HP,state,himachal pradesh,Total,3481873,3382729,HP_Himachal Pradesh,0.9715256702355313
HP,district,chamba,Total,261320,257760,HP_Chamba,0.9863768559620388
HP,district,kangra,Total,750591,759484,HP_Kangra,1.0118479971116094
HP,district,lahaul and spiti,Total,16588,14976,HP_Lahaul and Spiti,0.9028213166144201
HP,district,kullu,Total,225452,212451,HP_Kullu,0.9423336231215513
HP,district,mandi,Total,498065,501712,HP_Mandi,1.0073223374459157
HP,district,hamirpur,Total,217070,237698,HP_Hamirpur,1.0950292532362833
HP,district,una,Total,263692,257481,HP_Una,0.9764460051878707
HP,district,bilaspur,Total,192764,189192,HP_Bilaspur,0.981469569006661
HP,district,solan,Total,308754,271566,HP_Solan,0.8795545968635224
HP,district,sirmaur,Total,276289,253566,HP_Sirmaur,0.9177564072402448
HP,district,shimla,Total,425039,388971,HP_Shimla,0.9151419046252226
HP,district,kinnaur,Total,46249,37872,HP_Kinnaur,0.8188717593893922
PB,state,punjab,Total,14639465,13103873,PB_Punjab,0.8951060028491479
PB,district,gurdaspur,Total,1212617,1085706,PB_Gurdaspur,0.8953412330521509
PB,district,kapurthala,Total,426311,388857,PB_Kapurthala,0.9121439512468597
PB,district,jalandhar,Total,1145211,1048379,PB_Jalandhar,0.9154461492249026
PB,district,hoshiarpur,Total,809057,777568,PB_Hoshiarpur,0.9610793800684007
PB,district,shahid bhagat singh nagar,Total,313291,299019,PB_Shahid Bhagat Singh Nagar,0.9544449090462223
PB,district,fatehgarh sahib,Total,320795,279368,PB_Fatehgarh Sahib,0.8708614535762714
PB,district,ludhiana,Total,1867816,1630923,PB_Ludhiana,0.8731711260638093
PB,district,moga,Total,525920,469826,PB_Moga,0.8933411925768178
PB,district,ferozepur,Total,1071637,957437,PB_Ferozepur,0.893434063960091
PB,district,sri muktsar sahib,Total,475622,426274,PB_Sri Muktsar Sahib,0.8962453376841273
PB,district,faridkot,Total,326671,290837,PB_Faridkot,0.8903055367632878
PB,district,bathinda,Total,743197,645328,PB_Bathinda,0.868313515797292
PB,district,mansa,Total,408732,361019,PB_Mansa,0.8832658074239355
PB,district,patiala,Total,1002522,893164,PB_Patiala,0.8909171070560048
PB,district,amritsar,Total,1318408,1172248,PB_Amritsar,0.889139022214671
PB,district,tarn taran,Total,589369,530258,PB_Tarn Taran,0.8997045993257196
PB,district,rupnagar,Total,357485,327142,PB_Rupnagar,0.9151209141642307
PB,district,s.a.s. nagar,Total,529253,465375,PB_S.A.S. Nagar,0.8793053605742434
PB,district,sangrur,Total,878029,777140,PB_Sangrur,0.8850960503582456
PB,district,barnala,Total,317522,278005,PB_Barnala,0.8755456314838027
CH,state,chandigarh,Total,580663,474787,CH_Chandigarh,0.8176636017793454
CH,district,chandigarh,Total,580663,474787,CH_Chandigarh,0.8176636017793454
UT,state,uttarakhand,Total,5137773,4948519,UT_Uttarakhand,0.9631641958490575
UT,district,uttarkashi,Total,168597,161489,UT_Uttarkashi,0.9578402937181563
UT,district,chamoli,Total,193991,197614,UT_Chamoli,1.0186761241500895
UT,district,rudraprayag,Total,114589,127696,UT_Rudraprayag,1.1143827068915864
UT,district,tehri garhwal,Total,297986,320945,UT_Tehri Garhwal,1.077047243830247
UT,district,dehradun,Total,892199,804495,UT_Dehradun,0.9016990604114105
UT,district,pauri garhwal,Total,326829,360442,UT_Pauri Garhwal,1.1028458306943387
UT,district,pithoragarh,Total,239306,244133,UT_Pithoragarh,1.0201708273089685
UT,district,bageshwar,Total,124326,135572,UT_Bageshwar,1.0904557373357142
UT,district,almora,Total,291081,331425,UT_Almora,1.1386005957104723
UT,district,champawat,Total,131125,128523,UT_Champawat,0.9801563393708294
UT,district,nainital,Total,493666,460939,UT_Nainital,0.9337061900151115
UT,district,udham singh nagar,Total,858783,790119,UT_Udham Singh Nagar,0.9200449939041644
UT,district,haridwar,Total,1005295,885127,UT_Haridwar,0.8804649381524826
HR,state,haryana,Total,13494734,11856728,HR_Haryana,0.8786188745921186
