districtid,timeid,dose1,dose2
AN_South Andaman,1,1889.0,104.0
AN_South Andaman,2,6796.0,1418.0
AN_South Andaman,3,20108.0,2401.0
AN_South Andaman,4,32532.0,5786.0
AN_South Andaman,5,12884.0,465.0
AN_South Andaman,6,34384.0,29158.0
AN_South Andaman,7,33992.0,20564.0
AP_East Godavari,1,41300.0,842.0
AP_East Godavari,2,58256.0,25060.0
AP_East Godavari,3,284359.0,39754.0
AP_East Godavari,4,117645.0,139769.0
AP_East Godavari,5,450243.0,49546.0
AP_East Godavari,6,459931.0,110817.0
AP_East Godavari,7,518850.0,186685.0
AP_Guntur,1,23786.0,1960.0
AP_Guntur,2,52211.0,16994.0
AP_Guntur,3,259840.0,33024.0
AP_Guntur,4,161955.0,112864.0
AP_Guntur,5,368981.0,65573.0
AP_Guntur,6,464820.0,115211.0
AP_Guntur,7,427122.0,246815.0
AP_Krishna,1,25822.0,1180.0
AP_Krishna,2,49650.0,19814.0
AP_Krishna,3,289038.0,25617.0
AP_Krishna,4,134236.0,142162.0
AP_Krishna,5,440711.0,68656.0
AP_Krishna,6,375048.0,131110.0
AP_Krishna,7,445270.0,169050.0
AP_Kurnool,1,23015.0,1473.0
AP_Kurnool,2,30644.0,14108.0
AP_Kurnool,3,238435.0,20149.0
AP_Kurnool,4,99312.0,117334.0
AP_Kurnool,5,261408.0,26473.0
AP_Kurnool,6,284107.0,73875.0
AP_Kurnool,7,307565.0,239216.0
AP_Prakasam,1,22494.0,392.0
AP_Prakasam,2,29073.0,10343.0
AP_Prakasam,3,220967.0,23417.0
AP_Prakasam,4,106510.0,107527.0
AP_Prakasam,5,290723.0,53990.0
AP_Prakasam,6,321242.0,62132.0
AP_Prakasam,7,244329.0,257990.0
AP_S.P.S. Nellore,1,34047.0,2081.0
AP_S.P.S. Nellore,2,41929.0,21653.0
AP_S.P.S. Nellore,3,208389.0,34130.0
AP_S.P.S. Nellore,4,109582.0,117798.0
AP_S.P.S. Nellore,5,260749.0,25673.0
AP_S.P.S. Nellore,6,260949.0,148451.0
AP_S.P.S. Nellore,7,244915.0,178903.0
AP_Srikakulam,1,27222.0,1819.0
AP_Srikakulam,2,31905.0,18498.0
AP_Srikakulam,3,180158.0,18037.0
AP_Srikakulam,4,79316.0,73897.0
AP_Srikakulam,5,273645.0,19623.0
AP_Srikakulam,6,263588.0,87996.0
AP_Srikakulam,7,174293.0,117102.0
AP_Visakhapatnam,1,29915.0,1151.0
AP_Visakhapatnam,2,52383.0,22532.0
AP_Visakhapatnam,3,283951.0,31362.0
AP_Visakhapatnam,4,144540.0,127856.0
AP_Visakhapatnam,5,452264.0,49829.0
AP_Visakhapatnam,6,453246.0,109245.0
AP_Visakhapatnam,7,459875.0,281184.0
AP_Vizianagaram,1,15703.0,1003.0
AP_Vizianagaram,2,24711.0,11547.0
AP_Vizianagaram,3,163208.0,14968.0
AP_Vizianagaram,4,64449.0,69226.0
AP_Vizianagaram,5,215994.0,14838.0
AP_Vizianagaram,6,223189.0,47235.0
AP_Vizianagaram,7,216806.0,61200.0
AP_West Godavari,1,21069.0,658.0
AP_West Godavari,2,46309.0,16546.0
AP_West Godavari,3,219748.0,34808.0
AP_West Godavari,4,104868.0,109868.0
AP_West Godavari,5,400113.0,55813.0
AP_West Godavari,6,451595.0,55349.0
AP_West Godavari,7,399541.0,158923.0
AP_Y.S.R. Kadapa,1,17035.0,1519.0
AP_Y.S.R. Kadapa,2,33331.0,10925.0
AP_Y.S.R. Kadapa,3,227712.0,22896.0
AP_Y.S.R. Kadapa,4,93248.0,115574.0
AP_Y.S.R. Kadapa,5,248536.0,31663.0
AP_Y.S.R. Kadapa,6,274484.0,85325.0
AP_Y.S.R. Kadapa,7,149354.0,127378.0
AR_East Kameng,1,324.0,64.0
AR_East Kameng,2,612.0,192.0
AR_East Kameng,3,2351.0,516.0
AR_East Kameng,4,3264.0,1049.0
AR_East Kameng,5,5195.0,38.0
AR_East Kameng,6,5214.0,1392.0
AR_East Kameng,7,3461.0,2932.0
AR_East Siang,1,969.0,76.0
AR_East Siang,2,1601.0,891.0
AR_East Siang,3,8343.0,1464.0
AR_East Siang,4,6560.0,6033.0
AR_East Siang,5,5425.0,35.0
AR_East Siang,6,25956.0,3016.0
AR_East Siang,7,2475.0,4565.0
