,District_Key_1,District_Key_2
0,AP_Anantapur,AP_Chittoor
1,AP_Anantapur,AP_Kurnool
2,AP_Anantapur,AP_Y.S.R. Kadapa
3,AP_Anantapur,KA_Ballari
4,AP_Anantapur,KA_Chikkaballapura
5,AP_Anantapur,KA_Chitradurga
6,AP_Anantapur,KA_Tumakuru
7,AP_Chittoor,AP_Anantapur
8,AP_Chittoor,AP_S.P.S. Nellore
9,AP_Chittoor,AP_Y.S.R. Kadapa
10,AP_Chittoor,KA_Chikkaballapura
11,AP_Chittoor,KA_Kolar
12,AP_Chittoor,TN_Krishnagiri
13,AP_Chittoor,TN_Thiruvallur
14,AP_Chittoor,TN_Vellore
15,AP_East Godavari,AP_Visakhapatnam
16,AP_East Godavari,AP_West Godavari
17,AP_East Godavari,CT_Sukma
18,AP_East Godavari,OR_Malkangiri
19,AP_Guntur,AP_Krishna
20,AP_Guntur,AP_Prakasam
21,AP_Krishna,AP_Guntur
22,AP_Krishna,AP_West Godavari
23,AP_Kurnool,AP_Anantapur
24,AP_Kurnool,AP_Prakasam
25,AP_Kurnool,AP_Y.S.R. Kadapa
26,AP_Kurnool,KA_Ballari
27,AP_Kurnool,KA_Raichur
28,AP_Prakasam,AP_Guntur
29,AP_Prakasam,AP_Kurnool
30,AP_Prakasam,AP_S.P.S. Nellore
31,AP_Prakasam,AP_Y.S.R. Kadapa
32,AP_S.P.S. Nellore,AP_Chittoor
33,AP_S.P.S. Nellore,AP_Prakasam
34,AP_S.P.S. Nellore,AP_Y.S.R. Kadapa
35,AP_S.P.S. Nellore,TN_Thiruvallur
36,AP_Srikakulam,AP_Vizianagaram
37,AP_Srikakulam,OR_Gajapati
38,AP_Srikakulam,OR_Ganjam
39,AP_Srikakulam,OR_Rayagada
40,AP_Visakhapatnam,AP_East Godavari
41,AP_Visakhapatnam,AP_Vizianagaram
42,AP_Visakhapatnam,OR_Koraput
43,AP_Visakhapatnam,OR_Malkangiri
44,AP_Vizianagaram,AP_Srikakulam
45,AP_Vizianagaram,AP_Visakhapatnam
46,AP_Vizianagaram,OR_Koraput
47,AP_Vizianagaram,OR_Rayagada
48,AP_West Godavari,AP_East Godavari
49,AP_West Godavari,AP_Krishna
50,AP_Y.S.R. Kadapa,AP_Anantapur
51,AP_Y.S.R. Kadapa,AP_Chittoor
52,AP_Y.S.R. Kadapa,AP_Kurnool
53,AP_Y.S.R. Kadapa,AP_Prakasam
54,AP_Y.S.R. Kadapa,AP_S.P.S. Nellore
55,AR_Anjaw,AR_Changlang
56,AR_Anjaw,AR_Lohit
57,AR_Changlang,AR_Anjaw
58,AR_Changlang,AR_Lohit
59,AR_Changlang,AR_Namsai
60,AR_Changlang,AR_Tirap
61,AR_East Kameng,AR_Kurung Kumey
62,AR_East Kameng,AR_Pakke Kessang
63,AR_East Kameng,AR_Papum Pare
64,AR_East Kameng,AR_Tawang
65,AR_East Kameng,AR_West Kameng
66,AR_East Siang,AR_Lower Dibang Valley
67,AR_East Siang,AR_Lower Siang
68,AR_East Siang,AR_Siang
69,AR_East Siang,AR_Upper Siang
70,AR_Kamle,AR_Kra Daadi
71,AR_Kamle,AR_Lower Siang
72,AR_Kamle,AR_Lower Subansiri
73,AR_Kamle,AR_Papum Pare
74,AR_Kamle,AR_Upper Subansiri
75,AR_Kra Daadi,AR_Kamle
76,AR_Kra Daadi,AR_Kurung Kumey
77,AR_Kra Daadi,AR_Lower Subansiri
78,AR_Kra Daadi,AR_Papum Pare
79,AR_Kra Daadi,AR_Upper Subansiri
80,AR_Kurung Kumey,AR_East Kameng
81,AR_Kurung Kumey,AR_Kra Daadi
82,AR_Kurung Kumey,AR_Papum Pare
83,AR_Kurung Kumey,AR_Upper Subansiri
84,AR_Lepa Rada,AR_Lower Siang
85,AR_Lepa Rada,AR_Upper Subansiri
86,AR_Lepa Rada,AR_West Siang
87,AR_Lohit,AR_Anjaw
88,AR_Lohit,AR_Changlang
89,AR_Lohit,AR_Lower Dibang Valley
90,AR_Lohit,AR_Namsai
91,AR_Longding,AR_Tirap
92,AR_Longding,AS_Dibrugarh
93,AR_Longding,NL_Mon
94,AR_Lower Dibang Valley,AR_East Siang
95,AR_Lower Dibang Valley,AR_Lohit
96,AR_Lower Dibang Valley,AR_Upper Dibang Valley
97,AR_Lower Dibang Valley,AR_Upper Siang
98,AR_Lower Siang,AR_East Siang
99,AR_Lower Siang,AR_Kamle
100,AR_Lower Siang,AR_Lepa Rada
101,AR_Lower Siang,AR_Siang
102,AR_Lower Siang,AR_Upper Subansiri
103,AR_Lower Siang,AR_West Siang
104,AR_Lower Subansiri,AR_Kamle
105,AR_Lower Subansiri,AR_Kra Daadi
106,AR_Lower Subansiri,AR_Papum Pare
107,AR_Namsai,AR_Changlang
108,AR_Namsai,AR_Lohit
109,AR_Pakke Kessang,AR_East Kameng
110,AR_Pakke Kessang,AR_Papum Pare
111,AR_Pakke Kessang,AR_West Kameng
112,AR_Papum Pare,AR_East Kameng
113,AR_Papum Pare,AR_Kamle
114,AR_Papum Pare,AR_Kra Daadi
115,AR_Papum Pare,AR_Kurung Kumey
116,AR_Papum Pare,AR_Lower Subansiri
117,AR_Papum Pare,AR_Pakke Kessang
118,AR_Shi Yomi,AR_Siang
119,AR_Shi Yomi,AR_Upper Siang
120,AR_Shi Yomi,AR_Upper Subansiri
121,AR_Shi Yomi,AR_West Siang
122,AR_Siang,AR_East Siang
123,AR_Siang,AR_Lower Siang
124,AR_Siang,AR_Shi Yomi
125,AR_Siang,AR_Upper Siang
126,AR_Siang,AR_West Siang
127,AR_Tawang,AR_East Kameng
128,AR_Tawang,AR_West Kameng
129,AR_Tirap,AR_Changlang
130,AR_Tirap,AR_Longding
131,AR_Tirap,AS_Dibrugarh
132,AR_Upper Dibang Valley,AR_Lower Dibang Valley
133,AR_Upper Dibang Valley,AR_Upper Siang
134,AR_Upper Siang,AR_East Siang
135,AR_Upper Siang,AR_Lower Dibang Valley
136,AR_Upper Siang,AR_Shi Yomi
137,AR_Upper Siang,AR_Siang
138,AR_Upper Siang,AR_Upper Dibang Valley
139,AR_Upper Subansiri,AR_Kamle
140,AR_Upper Subansiri,AR_Kra Daadi
141,AR_Upper Subansiri,AR_Kurung Kumey
142,AR_Upper Subansiri,AR_Lepa Rada
143,AR_Upper Subansiri,AR_Lower Siang
144,AR_Upper Subansiri,AR_Shi Yomi
145,AR_Upper Subansiri,AR_West Siang
146,AR_West Kameng,AR_East Kameng
147,AR_West Kameng,AR_Pakke Kessang
148,AR_West Kameng,AR_Tawang
149,AR_West Kameng,AS_Udalguri
150,AR_West Siang,AR_Lepa Rada
151,AR_West Siang,AR_Lower Siang
152,AR_West Siang,AR_Shi Yomi
153,AR_West Siang,AR_Siang
154,AR_West Siang,AR_Upper Subansiri
155,AS_Dibrugarh,AR_Longding
156,AS_Dibrugarh,AR_Tirap
157,AS_Udalguri,AR_West Kameng
158,BR_Araria,BR_Kishanganj
159,BR_Araria,BR_Madhepura
160,BR_Araria,BR_Purnia
161,BR_Araria,BR_Supaul
162,BR_Arwal,BR_Bhojpur
163,BR_Arwal,BR_Gaya
164,BR_Arwal,BR_Jehanabad
165,BR_Arwal,BR_Patna
166,BR_Arwal,BR_Rohtas
167,BR_Arwal,MH_Aurangabad
168,BR_Banka,BR_Bhagalpur
169,BR_Banka,BR_Jamui
170,BR_Banka,BR_Munger
171,BR_Banka,JH_Deoghar
172,BR_Banka,JH_Dumka
173,BR_Banka,JH_Godda
174,BR_Begusarai,BR_Khagaria
175,BR_Begusarai,BR_Lakhisarai
176,BR_Begusarai,BR_Munger
177,BR_Begusarai,BR_Patna
178,BR_Begusarai,BR_Samastipur
179,BR_Bhagalpur,BR_Banka
180,BR_Bhagalpur,BR_Katihar
181,BR_Bhagalpur,BR_Khagaria
182,BR_Bhagalpur,BR_Madhepura
183,BR_Bhagalpur,BR_Munger
184,BR_Bhagalpur,BR_Purnia
185,BR_Bhagalpur,JH_Godda
186,BR_Bhagalpur,JH_Sahibganj
187,BR_Bhojpur,BR_Arwal
188,BR_Bhojpur,BR_Buxar
189,BR_Bhojpur,BR_Patna
190,BR_Bhojpur,BR_Rohtas
191,BR_Bhojpur,BR_Saran
192,BR_Bhojpur,UP_Ballia
193,BR_Buxar,BR_Bhojpur
194,BR_Buxar,BR_Kaimur
195,BR_Buxar,BR_Rohtas
196,BR_Buxar,UP_Ballia
197,BR_Buxar,UP_Ghazipur
198,BR_Darbhanga,BR_Madhubani
199,BR_Darbhanga,BR_Muzaffarpur
200,BR_Darbhanga,BR_Saharsa
201,BR_Darbhanga,BR_Samastipur
202,BR_Darbhanga,BR_Sitamarhi
203,BR_East Champaran,BR_Gopalganj
204,BR_East Champaran,BR_Muzaffarpur
205,BR_East Champaran,BR_Sheohar
206,BR_East Champaran,BR_Sitamarhi
207,BR_East Champaran,BR_West Champaran
208,BR_Gaya,BR_Arwal
209,BR_Gaya,BR_Jehanabad
210,BR_Gaya,BR_Nalanda
211,BR_Gaya,BR_Nawada
212,BR_Gaya,JH_Chatra
213,BR_Gaya,JH_Hazaribagh
214,BR_Gaya,JH_Koderma
215,BR_Gaya,JH_Palamu
216,BR_Gaya,MH_Aurangabad
217,BR_Gopalganj,BR_East Champaran
218,BR_Gopalganj,BR_Muzaffarpur
219,BR_Gopalganj,BR_Saran
220,BR_Gopalganj,BR_Siwan
221,BR_Gopalganj,BR_West Champaran
222,BR_Gopalganj,UP_Deoria
223,BR_Gopalganj,UP_Kushinagar
224,BR_Jamui,BR_Banka
225,BR_Jamui,BR_Lakhisarai
226,BR_Jamui,BR_Munger
227,BR_Jamui,BR_Nawada
228,BR_Jamui,BR_Sheikhpura
229,BR_Jamui,JH_Deoghar
230,BR_Jamui,JH_Giridih
231,BR_Jehanabad,BR_Arwal
232,BR_Jehanabad,BR_Gaya
233,BR_Jehanabad,BR_Nalanda
234,BR_Jehanabad,BR_Patna
235,BR_Kaimur,BR_Buxar
236,BR_Kaimur,BR_Rohtas
237,BR_Kaimur,UP_Chandauli
238,BR_Kaimur,UP_Ghazipur
239,BR_Kaimur,UP_Sonbhadra
240,BR_Katihar,BR_Bhagalpur
241,BR_Katihar,BR_Purnia
242,BR_Katihar,JH_Sahibganj
243,BR_Katihar,WB_Malda
244,BR_Katihar,WB_Uttar Dinajpur
245,BR_Khagaria,BR_Begusarai
246,BR_Khagaria,BR_Bhagalpur
247,BR_Khagaria,BR_Madhepura
248,BR_Khagaria,BR_Munger
249,BR_Khagaria,BR_Saharsa
250,BR_Khagaria,BR_Samastipur
251,BR_Kishanganj,BR_Araria
252,BR_Kishanganj,BR_Purnia
253,BR_Kishanganj,WB_Darjeeling
254,BR_Kishanganj,WB_Uttar Dinajpur
255,BR_Lakhisarai,BR_Begusarai
256,BR_Lakhisarai,BR_Jamui
257,BR_Lakhisarai,BR_Munger
258,BR_Lakhisarai,BR_Nalanda
259,BR_Lakhisarai,BR_Patna
260,BR_Lakhisarai,BR_Sheikhpura
261,BR_Madhepura,BR_Araria
262,BR_Madhepura,BR_Bhagalpur
263,BR_Madhepura,BR_Khagaria
264,BR_Madhepura,BR_Purnia
265,BR_Madhepura,BR_Saharsa
266,BR_Madhepura,BR_Supaul
267,BR_Madhubani,BR_Darbhanga
268,BR_Madhubani,BR_Saharsa
269,BR_Madhubani,BR_Sitamarhi
270,BR_Madhubani,BR_Supaul
271,BR_Munger,BR_Banka
272,BR_Munger,BR_Begusarai
273,BR_Munger,BR_Bhagalpur
274,BR_Munger,BR_Jamui
275,BR_Munger,BR_Khagaria
276,BR_Munger,BR_Lakhisarai
277,BR_Muzaffarpur,BR_Darbhanga
278,BR_Muzaffarpur,BR_East Champaran
279,BR_Muzaffarpur,BR_Gopalganj
280,BR_Muzaffarpur,BR_Samastipur
281,BR_Muzaffarpur,BR_Saran
282,BR_Muzaffarpur,BR_Sheohar
283,BR_Muzaffarpur,BR_Sitamarhi
284,BR_Muzaffarpur,BR_Vaishali
285,BR_Nalanda,BR_Gaya
286,BR_Nalanda,BR_Jehanabad
287,BR_Nalanda,BR_Lakhisarai
288,BR_Nalanda,BR_Nawada
289,BR_Nalanda,BR_Patna
290,BR_Nalanda,BR_Sheikhpura
291,BR_Nawada,BR_Gaya
292,BR_Nawada,BR_Jamui
293,BR_Nawada,BR_Nalanda
294,BR_Nawada,BR_Sheikhpura
295,BR_Nawada,JH_Giridih
296,BR_Nawada,JH_Koderma
297,BR_Patna,BR_Arwal
298,BR_Patna,BR_Begusarai
299,BR_Patna,BR_Bhojpur
300,BR_Patna,BR_Jehanabad
301,BR_Patna,BR_Lakhisarai
302,BR_Patna,BR_Nalanda
303,BR_Patna,BR_Samastipur
304,BR_Patna,BR_Saran
305,BR_Patna,BR_Vaishali
306,BR_Purnia,BR_Araria
307,BR_Purnia,BR_Bhagalpur
308,BR_Purnia,BR_Katihar
309,BR_Purnia,BR_Kishanganj
310,BR_Purnia,BR_Madhepura
311,BR_Purnia,WB_Uttar Dinajpur
312,BR_Rohtas,BR_Arwal
313,BR_Rohtas,BR_Bhojpur
314,BR_Rohtas,BR_Buxar
315,BR_Rohtas,BR_Kaimur
316,BR_Rohtas,JH_Garhwa
317,BR_Rohtas,JH_Palamu
