stateid,timeid,dose1,dose2
AN,1,3003.0,3003.0
AN,2,8421.0,8421.0
AN,3,33312.0,33312.0
AN,4,47323.0,47323.0
AN,5,16513.0,16513.0
AN,6,51659.0,51659.0
AN,7,51121.0,51121.0
AP,1,312586.0,312586.0
AP,2,501725.0,501725.0
AP,3,2877003.0,2877003.0
AP,4,1358640.0,1358640.0
AP,5,3954493.0,3954493.0
AP,6,4176262.0,4176262.0
AP,7,3993058.0,3993058.0
AR,1,15002.0,15002.0
AR,2,30821.0,30821.0
AR,3,79280.0,79280.0
AR,4,92122.0,92122.0
AR,5,122078.0,122078.0
AR,6,265578.0,265578.0
AR,7,88348.0,88348.0
AS,1,122598.0,122598.0
AS,2,341647.0,341647.0
AS,3,786720.0,786720.0
AS,4,1277754.0,1277754.0
AS,5,1339721.0,1339721.0
AS,6,3046245.0,3046245.0
AS,7,4254360.0,4254360.0
BR,1,461068.0,461068.0
BR,2,588575.0,588575.0
BR,3,3477610.0,3477610.0
BR,4,2365557.0,2365557.0
BR,5,3099840.0,3099840.0
BR,6,6130910.0,6130910.0
BR,7,8479325.0,8479325.0
CH,1,0.0,0.0
CH,2,0.0,0.0
CH,3,0.0,0.0
CH,4,0.0,0.0
CH,5,0.0,0.0
CH,6,0.0,0.0
CH,7,0.0,0.0
CT,1,262415.0,262415.0
CT,2,420004.0,420004.0
CT,3,3360622.0,3360622.0
CT,4,832580.0,832580.0
CT,5,123250.0,123250.0
CT,6,2469965.0,2469965.0
CT,7,1575563.0,1575563.0
DL,1,171171.0,171171.0
DL,2,271298.0,271298.0
DL,3,1331946.0,1331946.0
DL,4,1250050.0,1250050.0
DL,5,1164858.0,1164858.0
DL,6,2086160.0,2086160.0
DL,7,1168512.0,1168512.0
DN,1,1356.0,1356.0
DN,2,5281.0,5281.0
DN,3,26905.0,26905.0
DN,4,12367.0,12367.0
DN,5,85312.0,85312.0
DN,6,91111.0,91111.0
DN,7,26500.0,26500.0
GA,1,6479.0,6479.0
GA,2,21045.0,21045.0
GA,3,59801.0,59801.0
GA,4,89251.0,89251.0
GA,5,121192.0,121192.0
GA,6,207864.0,207864.0
GA,7,79743.0,79743.0
GJ,1,666427.0,666427.0
GJ,2,1113549.0,1113549.0
GJ,3,5827050.0,5827050.0
GJ,4,2126295.0,2126295.0
GJ,5,3843584.0,3843584.0
GJ,6,5221078.0,5221078.0
GJ,7,7290273.0,7290273.0
HP,1,75055.0,75055.0
HP,2,87374.0,87374.0
HP,3,812009.0,812009.0
HP,4,674468.0,674468.0
HP,5,395715.0,395715.0
HP,6,1226016.0,1226016.0
HP,7,1395933.0,1395933.0
HR,1,175693.0,175693.0
HR,2,171548.0,171548.0
HR,3,2014342.0,2014342.0
HR,4,1308079.0,1308079.0
HR,5,1754887.0,1754887.0
HR,6,2375372.0,2375372.0
HR,7,2048966.0,2048966.0
JH,1,200873.0,200873.0
JH,2,232096.0,232096.0
JH,3,1724199.0,1724199.0
JH,4,500936.0,500936.0
JH,5,1486029.0,1486029.0
JH,6,2088901.0,2088901.0
JH,7,2097626.0,2097626.0
JK,1,127128.0,127128.0
JK,2,216228.0,216228.0
JK,3,832055.0,832055.0
JK,4,986432.0,986432.0
JK,5,765339.0,765339.0
JK,6,1179762.0,1179762.0
JK,7,1074882.0,1074882.0
KA,1,445471.0,445471.0
KA,2,614723.0,614723.0
KA,3,4753583.0,4753583.0
KA,4,2893962.0,2893962.0
KA,5,5228414.0,5228414.0
KA,6,7135316.0,7135316.0
KA,7,4992952.0,4992952.0
KL,1,336789.0,336789.0
KL,2,630447.0,630447.0
KL,3,3425810.0,3425810.0
KL,4,1480635.0,1480635.0
KL,5,2715297.0,2715297.0
KL,6,2527162.0,2527162.0
KL,7,5148417.0,5148417.0
LA,1,1753.0,1753.0
LA,2,19644.0,19644.0
LA,3,18604.0,18604.0
LA,4,10502.0,10502.0
LA,5,38177.0,38177.0
LA,6,14978.0,14978.0
LA,7,3089.0,3089.0
LD,1,0.0,0.0
LD,2,0.0,0.0
LD,3,0.0,0.0
LD,4,0.0,0.0
LD,5,0.0,0.0
LD,6,0.0,0.0
LD,7,0.0,0.0
MH,1,660186.0,660186.0
MH,2,1293274.0,1293274.0
MH,3,7793870.0,7793870.0
MH,4,5371788.0,5371788.0
MH,5,5306287.0,5306287.0
MH,6,8315843.0,8315843.0
MH,7,6639743.0,6639743.0
ML,1,14229.0,14229.0
ML,2,40992.0,40992.0
ML,3,59182.0,59182.0
ML,4,196960.0,196960.0
ML,5,117127.0,117127.0
ML,6,296120.0,296120.0
ML,7,208863.0,208863.0
MN,1,23104.0,23104.0
MN,2,42849.0,42849.0
MN,3,30760.0,30760.0
MN,4,184619.0,184619.0
MN,5,159642.0,159642.0
MN,6,346624.0,346624.0
MN,7,269904.0,269904.0
MP,1,563315.0,563315.0
MP,2,498587.0,498587.0
MP,3,5109375.0,5109375.0
MP,4,1194049.0,1194049.0
MP,5,5012922.0,5012922.0
MP,6,8147581.0,8147581.0
MP,7,10877776.0,10877776.0
MZ,1,6100.0,6100.0
MZ,2,21179.0,21179.0
MZ,3,28881.0,28881.0
MZ,4,73905.0,73905.0
MZ,5,31186.0,31186.0
MZ,6,156699.0,156699.0
MZ,7,40498.0,40498.0
NL,1,8961.0,8961.0
NL,2,20453.0,20453.0
NL,3,49444.0,49444.0
NL,4,55354.0,55354.0
NL,5,80641.0,80641.0
NL,6,137461.0,137461.0
NL,7,61479.0,61479.0
OR,1,360822.0,360822.0
OR,2,453484.0,453484.0
OR,3,3117259.0,3117259.0
OR,4,1211937.0,1211937.0
OR,5,2116293.0,2116293.0
OR,6,3479476.0,3479476.0
OR,7,3918929.0,3918929.0
PB,1,83126.0,83126.0
PB,2,179878.0,179878.0
PB,3,1499030.0,1499030.0
PB,4,1499571.0,1499571.0
PB,5,870443.0,870443.0
PB,6,1782920.0,1782920.0
PB,7,1922756.0,1922756.0
PY,1,5397.0,5397.0
PY,2,16078.0,16078.0
PY,3,179539.0,179539.0
PY,4,150041.0,150041.0
PY,5,85382.0,85382.0
PY,6,188133.0,188133.0
PY,7,86430.0,86430.0
RJ,1,578286.0,578286.0
RJ,2,1724218.0,1724218.0
RJ,3,6351877.0,6351877.0
RJ,4,2882946.0,2882946.0
RJ,5,4352035.0,4352035.0
RJ,6,5488035.0,5488035.0
RJ,7,5934798.0,5934798.0
SK,1,3672.0,3672.0
SK,2,19903.0,19903.0
SK,3,44925.0,44925.0
SK,4,18367.0,18367.0
SK,5,32953.0,32953.0
SK,6,118570.0,118570.0
SK,7,11821.0,11821.0
TG,1,215981.0,215981.0
TG,2,242454.0,242454.0
TG,3,1644025.0,1644025.0
TG,4,2303681.0,2303681.0
TG,5,2365229.0,2365229.0
TG,6,3859970.0,3859970.0
TG,7,1363803.0,1363803.0
TN,1,200862.0,200862.0
TN,2,898893.0,898893.0
TN,3,2547031.0,2547031.0
TN,4,1466953.0,1466953.0
TN,5,3805300.0,3805300.0
TN,6,6292669.0,6292669.0
TN,7,6378623.0,6378623.0
TR,1,58312.0,58312.0
TR,2,59503.0,59503.0
TR,3,563072.0,563072.0
TR,4,211435.0,211435.0
TR,5,170807.0,170807.0
TR,6,838224.0,838224.0
TR,7,282421.0,282421.0
UP,1,938269.0,938269.0
UP,2,1063817.0,1063817.0
UP,3,6416207.0,6416207.0
UP,4,2907449.0,2907449.0
UP,5,7750005.0,7750005.0
UP,6,12756429.0,12756429.0
UP,7,15256217.0,15256217.0
UT,1,111780.0,111780.0
UT,2,130748.0,130748.0
UT,3,912420.0,912420.0
UT,4,649775.0,649775.0
UT,5,690028.0,690028.0
UT,6,1232406.0,1232406.0
UT,7,1450838.0,1450838.0
WB,1,508238.0,508238.0
WB,2,1465702.0,1465702.0
WB,3,5304130.0,5304130.0
WB,4,1511144.0,1511144.0
WB,5,4780735.0,4780735.0
WB,6,4274794.0,4274794.0
WB,7,6567708.0,6567708.0
