stateid,timeid,dose1,dose2
AN,1,23,0
AN,2,691,0
AN,3,1062,0
AN,4,661,0
AN,5,243,0
AN,6,2353,906
AN,7,1151,810
AN,8,2178,244
AN,9,3006,476
AN,10,1461,864
AN,11,1330,1384
AN,12,2336,129
AN,13,10183,262
AN,14,34984,950
AN,15,18053,2606
AN,16,6850,1564
AN,17,3476,1690
AN,18,2380,1340
AN,19,3428,26
AN,20,4551,10
AN,21,3644,56
AN,22,3667,129
AN,23,4302,153
AN,24,18409,744
AN,25,13942,6963
AN,26,6333,29339
AN,27,11931,19580
AN,28,10409,8626
AN,29,13653,4787
AN,30,7137,2614
AN,31,17525,2925
AP,1,3929,0
AP,2,62556,0
AP,3,60076,0
AP,4,107338,0
AP,5,64479,5503
AP,6,110174,74702
AP,7,109650,47406
AP,8,111356,43704
AP,9,184000,52530
AP,10,409106,59642
AP,11,591800,65070
AP,12,563199,44812
AP,13,657953,97932
AP,14,692064,73270
AP,15,470462,494734
AP,16,582554,353826
AP,17,233619,400126
AP,18,46429,181865
AP,19,74793,175013
AP,20,1592981,126377
AP,21,895653,82107
AP,22,975356,38799
AP,23,568118,31540
AP,24,1947370,232639
AP,25,1146806,333279
AP,26,280644,203704
AP,27,949554,551560
AP,28,372703,477872
AP,29,1102124,851157
AP,30,1272867,503098
AP,31,934054,285601
AR,1,81,0
AR,2,2226,0
AR,3,3938,0
AR,4,2776,0
AR,5,3851,456
AR,6,6985,3647
AR,7,5786,2627
AR,8,11290,2672
AR,9,8830,2866
AR,10,10270,3809
AR,11,11078,3392
AR,12,11753,3467
AR,13,23556,6885
AR,14,32310,7202
AR,15,28585,9596
AR,16,26808,8952
AR,17,17697,14157
AR,18,10711,7778
AR,19,26041,187
AR,20,9209,191
AR,21,39382,330
AR,22,35814,423
AR,23,66522,524
AR,24,70523,1632
AR,25,62360,8082
AR,26,54939,22099
AR,27,36934,24667
AR,28,25521,22428
AR,29,17617,15169
AR,30,16974,8725
AR,31,12862,16091
AS,1,390,0
AS,2,3592,0
AS,3,25975,0
AS,4,47076,0
AS,5,42989,1958
AS,6,30945,8473
AS,7,41286,16987
AS,8,146469,24355
AS,9,124493,30878
AS,10,86069,24078
AS,11,323591,32379
AS,12,137680,33122
AS,13,200761,75428
AS,14,58518,40187
AS,15,291391,120255
AS,16,422488,138740
AS,17,317763,100557
AS,18,280054,73187
AS,19,302648,46493
AS,20,302916,49109
AS,21,217937,20488
AS,22,368959,67942
AS,23,421417,135355
AS,24,1360284,124244
AS,25,627631,108995
AS,26,258819,49849
AS,27,664096,177198
AS,28,709657,183487
AS,29,730577,213472
AS,30,1426386,215419
AS,31,1196188,289101
BR,1,2967,0
BR,2,34848,0
BR,3,65921,0
BR,4,220168,0
BR,5,118736,55
BR,6,66441,37795
BR,7,39229,39726
BR,8,82154,105147
BR,9,415684,105136
BR,10,371935,74125
BR,11,625970,39613
BR,12,665162,37833
BR,13,1173274,103323
BR,14,916085,143218
BR,15,574743,195460
BR,16,441323,234807
BR,17,358649,354809
BR,18,857903,209344
BR,19,590863,38034
BR,20,622042,43071
BR,21,638723,63477
BR,22,935448,65612
BR,23,1427750,130476
BR,24,1976375,132095
BR,25,1195389,215868
BR,26,1128878,267797
BR,27,1633805,422487
BR,28,1072168,285912
BR,29,1854885,477289
BR,30,2326083,498852
BR,31,2169284,448068
CT,1,1029,0
CT,2,10774,0
CT,3,43240,0
CT,4,92990,0
CT,5,91729,817
CT,6,90907,18967
CT,7,35239,29477
CT,8,130029,65996
CT,9,179678,69190
CT,10,364488,74986
CT,11,336349,37666
CT,12,848588,35125
CT,13,1371681,66458
CT,14,632528,86079
CT,15,330096,105871
CT,16,150063,135934
CT,17,80906,135628
CT,18,98834,189096
CT,19,33092,11150
CT,20,32926,11217
CT,21,22771,28126
CT,22,16040,25311
CT,23,19363,26567
CT,24,978978,193320
CT,25,934727,261276
CT,26,297782,165607
CT,27,380212,141720
CT,28,360622,160806
CT,29,353437,157741
CT,30,473760,234879
CT,31,251541,207596
DL,1,777,0
DL,2,10092,0
DL,3,28335,0
DL,4,45331,0
DL,5,73118,1712
DL,6,104009,14362
DL,7,67881,17956
DL,8,51011,25505
DL,9,61908,46896
DL,10,70566,65002
DL,11,89501,46951
DL,12,482360,60570
DL,13,447104,68013
DL,14,377289,85635
DL,15,251700,104720
DL,16,196671,132728
DL,17,375392,134472
DL,18,365795,163428
DL,19,411553,89130
DL,20,187123,48576
DL,21,198098,72461
DL,22,245181,138914
DL,23,288946,125722
DL,24,612491,109678
DL,25,747287,185512
DL,26,314069,152225
DL,27,292499,123081
DL,28,141194,158489
DL,29,101834,258826
